theta,rc,rho,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0.29776432927229235,1.21240395544809,0.4234311883507457,0.6041376944718383,0.18432774217948705,-0.20925209537563427,-0.5710532946572369,-0.9195345330927434,-1.2535978313625253,-1.574379459044118,-1.8923040063685372,-2.202332999689457,-2.5078761501144506,-2.812309296659148,-3.1140300319307115,-3.4140316811615854,-3.713910713244336,-4.012445261495982,-4.310752167192151,-4.6089596289144925,-4.90691400896527,-5.204781240360421,-5.5026895865375725,-8.0
0.3528955556448773,1.5252444540431507,0.19102220997485944,0.9211584092432727,0.3570260998540095,-0.1323593721799669,-0.5657900406848239,-0.9675278831988179,-1.351144868204775,-1.7184696962684936,-2.0809935341594987,-2.4375803151385997,-2.7925961257644034,-3.146387772090769,-3.499589676753023,-3.8526374315891903,-4.205569549488741,-4.558483432265234,-4.911382620408664,-5.264279794354611,-5.617175579181222,-5.970071231763297,-6.322966805789758,-8.0
0.1653651443297017,1.1167247514931358,0.6482762924382383,0.39050912516547265,0.15908853277694562,-0.06508567266484022,-0.2836733891507546,-0.49862473677899255,-0.7051043290393405,-0.9084996077020816,-1.1032120194815767,-1.2936009317043753,-1.4819612234122523,-1.6687489947147576,-1.8545326804770166,-2.038472318045456,-2.2211206514212343,-2.3994651050465396,-2.5739686258025154,-2.7485684933828605,-2.9237204752815975,-3.1048729785378386,-3.3163946244924754,-8.0
0.23331612304553784,2.0214933511461424,0.7851354360145427,0.5292178183760401,0.23250137339463367,-0.05872967467521549,-0.3447931741282226,-0.6256683602749559,-0.8992691784879554,-1.1691237639722047,-1.4335437336714063,-1.6945428042784443,-1.9514099073971536,-2.207094020026468,-2.4608299137396057,-2.7134200405594737,-2.9644649763078563,-3.213582235729567,-3.4601152011931546,-3.7060851431519155,-3.953526870394753,-4.2074055734006,-4.49854784301521,-8.0
0.27847944565606464,2.3097941312381804,0.7276205077611483,0.792993630559071,0.43096916851740874,0.07889473427257164,-0.2636401339993377,-0.5967206273741265,-0.9171563760688919,-1.2328988924547886,-1.5420890699477316,-1.848866980277237,-2.1519236451668347,-2.453301983795811,-2.7482717334879885,-3.039653316508461,-3.329120139778878,-3.6180532886757377,-3.9060827806575715,-4.194509873764321,-4.478729694985772,-4.764469308659921,-5.0660838963860995,-8.0
0.2204757718097026,1.8045353862774518,0.321011841149565,1.0576532267521936,0.6555283234740555,0.3016098664443502,-0.01732356225083692,-0.3175987586292357,-0.5917261597449774,-0.8559814466362307,-1.1110381994882943,-1.35383213611257,-1.5924688274863863,-1.8285841192773435,-2.057055191154953,-2.2840397618893737,-2.5106026710315867,-2.734205347373994,-2.9566321905105912,-3.1789311906034956,-3.4006156873982927,-3.621653788237814,-3.8433313172038375,-8.0
0.2946486736236215,3.5393682774439457,0.15801340457382446,2.2796014130712368,1.513820258120197,0.9042829582447821,0.39785673334308475,-0.034971917501978284,-0.41489376973081676,-0.7719659770784272,-1.0984967833718582,-1.4175747191976882,-1.7242393234095743,-2.0274624803262413,-2.3258395360896764,-2.623175504613769,-2.9186126832377313,-3.2138974499855997,-3.508712552993282,-3.8034772984704577,-4.098158926868402,-4.3928261413959335,-4.687481064012148,-8.0
0.2041412843903113,3.0383314948616422,0.6726244695261477,1.182857425164682,0.8695318830308081,0.5727945065512218,0.2934817755058265,0.021553051503515046,-0.2423516975393997,-0.5016864352837318,-0.749120370676742,-0.9904520162456285,-1.2260348021261702,-1.457213558797329,-1.6859035065791692,-1.91309820055964,-2.1376621247131236,-2.3591873268523678,-2.5763750412551207,-2.791353754522184,-3.007041304314291,-3.228067557147224,-3.4780243314426995,-8.0
0.10758886991594574,3.5304140044127545,0.5340517178229065,1.6687241368354706,1.4183212287297822,1.1880311599535456,0.973279855595743,0.7693077257310115,0.575649585576484,0.39430747107597086,0.2231784365871069,0.0599182568217477,-0.09586650525053149,-0.24756736337573837,-0.39650727165953104,-0.5409066653596881,-0.6839654184367712,-0.8212474468960358,-0.9526460953174488,-1.0857093828021651,-1.2234244621969343,-1.3811352398270849,-1.596760202852364,-8.0
0.2911226187294023,1.2785793687060818,0.6638144600808648,0.43183743356286197,0.05692792705045456,-0.30445961714705316,-0.6506553919658998,-0.982787316050308,-1.3097162648307714,-1.6327429842294183,-1.9521575102965214,-2.2621445212385214,-2.567477759727214,-2.871782808143983,-3.175033563419102,-3.4756806053253544,-3.773909402376709,-4.069990560177638,-4.365542018930544,-4.66097694315388,-4.955585300793275,-5.248797949329893,-5.547014291539426,-8.0
