beta,gamma,kappa,kappa_1,rho,sigma,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,a_0,e_0
0.939926520150945,0.291368628977476,0.861707738300079,1.1552749097746555,0.17843802916753157,2559.750095504611,-2895.451556398427,-2889.952801064497,-2883.8321876584096,-2876.91652819361,-2869.022474042195,-2859.9693262886635,-2849.584296462963,-2837.67224242628,-2823.9951544167016,-2808.150229447505,47,14
0.9315732250134333,0.4794087240228311,0.6778929835183664,1.278586721600163,0.28750778707416824,2737.892909629472,-3042.729082515798,-2857.7507611574115,-2809.2777684266885,-2785.104492505402,-2765.1865485929115,-2747.3487224520663,-2732.555753939853,-2717.197355491979,-2701.3696608604605,-2685.128342178546,54,32
0.9593293875886595,0.8680830916113687,0.8183459974459693,1.494303315221973,0.8773821804196107,3459.65986965236,-24972.305036160487,-23294.377499260474,-8190.55690060018,-6849.250642123928,-5892.868448237823,-5144.074231155165,-4743.281088181303,-4358.797877082427,-3990.1514048777367,-3635.608711665502,53,32
0.9368086190578672,0.847222253844623,0.792184198014024,1.8684746639051897,0.2603401742354645,3966.884914817476,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,49,12
0.9390931730757174,0.6230677079536757,0.26207774454909954,1.200639436550942,0.10988178768207098,3979.487823702412,-6979.108445686217,-6863.874891168124,-6726.040255334128,-6560.929263160188,-6363.194596911832,-6127.116987315473,-5850.900233205814,-5541.965628075865,-5160.256033075008,-4664.124917412835,50,12
0.9331143121902453,0.3039452207774153,0.7008417567913741,1.2869823565804441,0.7922842829851947,3864.863406294181,-5339.906619984474,-5325.682183319349,-5310.132925227628,-5293.0937100565,-5274.435349502829,-5254.082209889357,-5232.085280374431,-5209.583382058874,-5188.236965658019,-5153.972862707778,48,17
0.9355688354255081,0.20636223713931706,0.11168302921626622,0.8123468191202012,0.6723162447289871,2076.5083376644725,-2653.203006831318,-2647.956639756055,-2642.4468118599916,-2637.1080331629214,-2626.782522963205,-2618.972620059953,-2610.464780231286,-2601.138396970582,-2590.953238958599,-2579.8109501371496,47,6
0.9675215909494231,0.2032541260636407,0.3005973012806008,0.8776815786273362,0.3216283707757025,2694.24362962952,-3514.257306646554,-3496.700087031251,-3468.623681470677,-3446.5711904888867,-3422.9508489528816,-3397.292079477845,-3369.2373430865105,-3345.11562056109,-3319.9520499493287,-3293.7952495325517,54,8
0.9368198907345038,0.7691484861220189,0.22747725519286366,1.5256317709631426,0.231059131810689,3080.4723028776316,-19180.063971296353,-16611.279042926068,-13480.949908222814,-9799.670847470336,-4916.631889254506,-1147.6099634430716,-663.2472737289168,-2.879276904328094,1381.1629164103292,1791.815587021838,50,26
0.978686207196101,0.5165620633364576,0.3958782780613851,1.7533205369764762,0.5799269549646595,2841.78532828001,-4509.320166982195,-4326.744544570334,-4070.3167513382477,-4014.7029050401143,-3967.696883507619,-3925.0959782924997,-3888.7063281434143,-3851.7876810647604,-3814.0874044117018,-3775.438902850598,53,32
