theta,rc,rho,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0.27934173942699125,2.3078013665798167,0.40843499694579916,1.2243932273288232,0.7745043229455764,0.34765156171249123,-0.05601230929619461,-0.4104013706101176,-0.7329654605682129,-1.0437769921106692,-1.3532421876116023,-1.661758256250006,-1.963459723988919,-2.25293611689992,-2.5363198896721473,-2.8190382070441866,-3.101756682174239,-3.384474563429949,-3.66693303779503,-3.9471548337830273,-4.0,-4.0,-4.0,-4.0
0.27900623751766096,3.684934303166041,0.6673137822310999,1.460218567075898,1.0557238020151531,0.663489635829422,0.2834966757162903,-0.07996426328663049,-0.42724958512700373,-0.7539505272188112,-1.0659484855018138,-1.37485229539876,-1.6781222427250808,-1.9774274746201046,-2.276282979563186,-2.577350498018093,-2.8774083675769173,-3.1763872626808953,-3.471119470161293,-3.761976095988027,-4.0,-4.0,-4.0,-4.0
0.10178659113201582,3.706538520897923,0.7772598089335301,1.1780373487346767,1.0166702941974846,0.8576976786587648,0.7028563257204632,0.5522582730431244,0.4030503201817637,0.25833235216747985,0.11493559493321778,-0.027099557658236073,-0.1682489710262952,-0.3091082584408609,-0.4500012502269568,-0.5912934405478639,-0.7318927081151522,-0.8765964819975818,-1.0287106807729964,-1.1834931656306669,-1.3449928319646414,-1.536741687309859,-1.7920070996023059,-4.0
0.1516311321412463,3.190087353127276,0.5865625228987799,1.4181884016609074,1.1444546707126597,0.8904756791471525,0.6516054332930542,0.419317722255049,0.19281571988561877,-0.02788114925781454,-0.24275380435631685,-0.44742571616365107,-0.6483941876831232,-0.838275866831692,-1.0134267992412616,-1.186675155829177,-1.356740111022713,-1.5253907499738046,-1.6927134410527618,-1.8577989629701623,-2.0252309252184992,-2.2038189136110886,-2.426085870199054,-4.0
0.15469383809836032,2.33602366843125,0.543433494662404,1.121217535976457,0.8589964213260334,0.61245944070456,0.37249959344414646,0.13991838122836847,-0.08660331957698121,-0.30698663544214444,-0.5128205021703909,-0.7083134206781105,-0.8955919009130817,-1.0741067575722751,-1.2490166041184096,-1.4205634539321135,-1.5904444449956134,-1.7590317361023136,-1.9275411227307109,-2.096089163958115,-2.2654042329108908,-2.439957414687931,-2.63858569018703,-4.0
0.2232342615923419,2.3302524345457316,0.48855284172905544,1.1684823527415327,0.80797700708851,0.46383222275615127,0.1333814288550019,-0.1826073311623352,-0.469343401688043,-0.7362800216997657,-0.9890842948786515,-1.2359790754935662,-1.4812776617226553,-1.7257946075671677,-1.9695549998391855,-2.2108783026219703,-2.4473922616762187,-2.677691941768046,-2.9045119842124274,-3.1308073534613103,-3.3581548111916013,-3.585807943858106,-3.8126903388526676,-4.0
0.17791626314496695,1.6887208527542352,0.6022195131009241,0.7638669192497243,0.49555088853735596,0.23434610087291452,-0.01936534678652377,-0.2666695019841261,-0.4983975949516007,-0.7206329906815765,-0.9312812239573017,-1.1374062529979232,-1.3371876155108096,-1.5337680352725864,-1.7282955788374317,-1.9211599807304205,-2.1132547817425853,-2.3051840812835906,-2.49724764900488,-2.690053418964077,-2.882160132638851,-3.0749554118937517,-3.2766093648043846,-4.0
0.2529526760652744,2.2420798454448936,0.549119840672124,1.0553679220557712,0.6722408374133627,0.3047620797503948,-0.04874120501057705,-0.37373138029871494,-0.6776771742884817,-0.9660745591411241,-1.2454422206348181,-1.5208419484068227,-1.7958073835249964,-2.0699257237617568,-2.3428996362768624,-2.6104614094348286,-2.87406362509901,-3.134467819837823,-3.3926406024611686,-3.6505558101673565,-3.9053518983606135,-4.0,-4.0,-4.0
0.23966458938541105,2.301921113239411,0.5179367737048408,1.1201987609538337,0.7466231738248962,0.38832479868535036,0.04348323521002827,-0.2859431290099065,-0.581941427949978,-0.8544389229503657,-1.121453636300153,-1.3839697092088237,-1.6459016191350102,-1.9069307197302294,-2.1670682029746158,-2.4225077181551877,-2.6729018552504087,-2.918332986482533,-3.1628564479432852,-3.4072805609837835,-3.651653412731774,-3.8933943060859835,-4.0,-4.0
0.2911187709082393,1.587595526574903,0.896883136622783,-0.03575164909039727,-0.3746448346530234,-0.7107609011555841,-1.0478097598128921,-1.372589226224204,-1.7028931624600645,-2.036855569216663,-2.3657160694515076,-2.6928990342688484,-3.0406258991989485,-3.3964811288333734,-3.728878315029408,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
0.3492009658362097,3.7732887134879465,0.5423570211081316,1.708234887668245,1.1737608961753276,0.6661214126605263,0.18578467437469462,-0.2569549690270596,-0.6578832037723124,-1.0416066230026457,-1.4217829678377305,-1.8003741002591953,-2.176661579774526,-2.5413120971270406,-2.899188464199939,-3.2554097407027136,-3.6114265631227545,-3.9613797162528717,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
0.21602088295675853,2.758104780628578,0.6274247963141804,1.1746578063901154,0.8496820039878948,0.5334741294644285,0.2258538109873563,-0.07111419117547912,-0.3555003602732425,-0.6223681624104176,-0.8780717107688119,-1.1240111550626846,-1.3652811329876813,-1.602808305410911,-1.8367962503622397,-2.0692903468567105,-2.3014537793960503,-2.534962770034222,-2.768461095348703,-3.000784797774384,-3.230395723928185,-3.4578774270796777,-3.6828808873191243,-4.0
0.35234085231431944,1.9558290576074935,0.6226268861299646,0.8254201459929749,0.3478145205697778,-0.09656837692774484,-0.5109699115325522,-0.9069571941874601,-1.2913197462500146,-1.670098597210342,-2.0485110973395075,-2.4256528545579195,-2.8046107711615598,-3.168479893298915,-3.5302380800636666,-3.884822190999223,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
0.1896514947630219,2.003847614235039,0.5268177536023975,0.9826378222320646,0.6825516059743086,0.39145295794559165,0.11151206151448914,-0.15978313995264937,-0.41376685389544876,-0.6543901852150128,-0.8762351420662822,-1.091254458704865,-1.3020669040697894,-1.5100891270821697,-1.7172071719796596,-1.9239132350734853,-2.130104062296,-2.3359395122063082,-2.5390317882778066,-2.737229204179633,-2.9333823134283135,-3.128799533238723,-3.331471609726934,-4.0
0.23539848944279249,3.3912583355120365,0.6014316318693143,1.4634733821384782,1.0929005473047093,0.7406508414495336,0.3991368688129602,0.07126772220267942,-0.24857701536058102,-0.5421662541996758,-0.8179042175439137,-1.0829875226735113,-1.3441705449769727,-1.60044686271824,-1.8547398604242127,-2.108700527569466,-2.362068544015517,-2.615978387006816,-2.868400918190566,-3.11827652419567,-3.362435351510354,-3.6026261703325155,-3.841119100881534,-4.0
0.12208217674846265,3.1876444623530737,0.598613857185681,1.4016570198267146,1.173371666587831,0.9559267159693636,0.7502708935556066,0.5569187666623855,0.3685319114686849,0.18374979210915876,0.0027644090929605583,-0.17381555375767352,-0.34725916471026974,-0.5125628782219219,-0.6770070941728032,-0.8353742051821356,-0.9784389990426735,-1.1269990647208061,-1.2666644486350886,-1.407252825236987,-1.5522717335117413,-1.7112438222748783,-1.9376739321900371,-4.0
0.2721171699108794,1.9130656296633852,0.458590793978113,0.9849013898859166,0.5656260097247893,0.16381554282037947,-0.21150475348611333,-0.5433593878550327,-0.850029036132143,-1.150558449767554,-1.4501176577309398,-1.7487440654226563,-2.04504912025937,-2.3316138858420095,-2.6072497416511515,-2.88251039199047,-3.157669313762362,-3.4339236814489147,-3.7113468895510477,-3.9837799686247664,-4.0,-4.0,-4.0,-4.0
0.19791049375816216,1.2070424239043513,0.7063988352666288,0.37239556662272044,0.10143939685556436,-0.16278474917621333,-0.4191258442531041,-0.663921235711997,-0.903922976970722,-1.1339281118649156,-1.3586650399971765,-1.5795146707741745,-1.7970599582326106,-2.013170471603571,-2.2292823655790768,-2.4444661832842147,-2.6585381723238073,-2.8716746593159534,-3.0844363876204706,-3.2976955624676445,-3.511180844180429,-3.732818532874828,-3.939882019873609,-4.0
0.39259012051122477,3.0810996871945933,0.7770958939150219,1.0150965850742824,0.5255283066784749,0.057746389462042406,-0.39931616446555807,-0.8262637678078363,-1.2544066887144136,-1.6773841311624142,-2.0991531258057843,-2.5217601662898774,-2.9421307135811468,-3.3674744891548793,-3.7908815742194326,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
0.36015756770816476,3.256864646495532,0.6203220414251944,1.3826444076436628,0.8722746614477785,0.38347539081045495,-0.070596849994671,-0.4948932500197196,-0.8988665465044148,-1.2910694731363257,-1.6783379497477344,-2.0650689180517823,-2.45001122367529,-2.8369103193801775,-3.207506200637726,-3.5757194521687046,-3.9371020507073107,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
0.35110284914295153,2.680909503871193,0.7822848654726928,0.8583271871450502,0.41814774429537394,-0.00709955770398904,-0.42291072031501076,-0.812718725048533,-1.1974444043501322,-1.5788700186037872,-1.9577739370159626,-2.338798998917623,-2.718348572279383,-3.093647420016203,-3.4863531999563246,-3.858933496456849,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
