beta,gamma,kappa,kappa_1,rho,sigma,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,a_0,e_0
0.9625398944803583,0.8394151001781184,0.9849698533226943,1.7247378628853376,0.651469117368362,3705.20761286121,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-39744.12411820993,-36346.37740385815,48,9
0.9727371048900297,0.5118597471960812,0.4494515586991574,1.7445331309749015,0.5945237580395683,3757.812249681565,-6643.06280398563,-6515.43769886095,-6366.235818668525,-6188.896081713821,-5948.515533869274,-5804.7800335090615,-5640.874474979002,-5417.649217172007,-5318.812728109203,-5260.011753612892,48,26
0.9711497776967367,0.39059064932329646,0.2773974337781967,0.8804082629652659,0.7831834022310478,2862.1790938878557,-4966.314324499276,-4909.561942253183,-4842.745004492404,-4754.254734736998,-4712.4619331021895,-4668.936006875962,-4623.529202425533,-4575.304239457956,-4523.864032135381,-4476.1042215440175,53,26
0.9659942228671503,0.35810177426102985,0.2558551388966993,1.8095943388795541,0.32208964193205847,2779.019430726727,-3795.5126371938954,-3775.45084220793,-3753.3945035998368,-3729.1016852792786,-3702.3498908247866,-3672.9120317155816,-3640.7718708922707,-3605.1277657365217,-3565.4168532799918,-3521.000450151174,49,15
0.9345988901412151,0.841946572867941,0.6803933347295994,0.890240780629393,0.6842457039998351,2598.7465782689933,-35872.55856142457,-33462.57169343557,-30628.440215800412,-27331.228970606964,-23533.421913295773,-18438.14727715656,-15951.650231933407,-13424.439604260338,-4997.447504767068,-2390.0934695334126,47,25
0.970405661958432,0.7292269365735187,0.9250723800780707,1.080146240833759,0.703216061879282,2011.845290903588,-12586.891023191636,-11796.397941242534,-10983.076574553257,-10153.110874458733,-9274.598896742535,-8325.555774943958,-7118.04367440835,-6678.711894473309,-6255.157996988287,-5846.806631422551,54,18
0.9558845524439608,0.8341163667492492,0.296823010191159,0.6189483680538175,0.8616445293994522,2270.509846799147,-10919.639274034582,-10462.304494718104,-9939.432550068328,-9337.35945682273,-8620.08202898792,-7672.492529802998,-3300.8433594328035,-2841.817778425364,-2368.1097496262646,-1873.517794884278,54,20
0.977888343141936,0.9690904128879055,0.9709369281866365,1.6651416737124196,0.8833526641376743,3080.6756124320013,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,47,22
0.9654433557001723,0.638329437754519,0.542122670226026,1.8429615196391946,0.4833712648157773,2302.750771015745,-7062.4215609120465,-6398.148916154329,-5649.844797428999,-4776.113114976212,-3461.407868404468,-3246.259461735193,-3027.730484852053,-2794.6979293370114,-2534.4461458368705,-2204.060115429089,52,25
0.9477957179282789,0.5838809021825706,0.3001272479615789,1.6156011413575653,0.20373101166059593,2771.9344746821685,-5096.558875829991,-5020.557913682722,-4675.664635504752,-4525.836567662114,-4360.16336611575,-4172.751810214237,-3951.562657628233,-3683.009218373284,-3340.8256656418785,-3245.895096618488,52,8
0.9384888619301908,0.3700888001047602,0.6054128134769184,1.8991066438967417,0.4179690727449611,3327.746653257238,-3923.66823965096,-3887.038018600273,-3839.3619361539954,-3769.1912675963263,-3714.959197337429,-3696.1617443138325,-3676.0225045502166,-3654.3885512001043,-3630.1057947873614,-3609.8715530862646,52,26
0.9461069915641844,0.8918807857191023,0.7798272236098022,0.7686242469177518,0.6619970918237142,2307.511037977596,-40000.0,-36570.51509926268,-31108.413880350043,-26286.312279007114,-10729.483052643507,-5194.879683447058,-3404.9032718563153,-2217.506593280759,-1355.5339331964574,-1076.491895765423,51,29
0.9564149447589938,0.2821657360591453,0.7761150211176381,0.8081561567339202,0.6024666521419111,2407.846782553019,-3367.549021494768,-3356.4856705596367,-3344.649269570193,-3332.185386260487,-3320.843445740174,-3294.5951515566853,-3276.8830621969632,-3257.7252150715576,-3237.054345748603,-3214.6350141697408,49,5
