beta,gamma,kappa,kappa_1,rho,sigma,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,a_0,e_0
0.9626929664854492,0.739912168323407,0.862583563261927,0.9392054729846526,0.7448366728616514,3919.663792126843,-24530.011819437146,-4456.582033056319,-4356.085504312697,-4330.013206124039,-4317.222182492977,-4318.782457134137,-4336.0852299234475,-4370.96718969456,-4425.7647898275945,-4503.537540913217,54,33
0.941249544609302,0.7456512953457721,0.43547651698229484,0.6677451594566561,0.8962903585352733,2908.88908044118,-3542.8053660707756,-3556.2776954926844,-3502.1081532428398,-2677.134169875817,-2608.274435527847,-2623.7055841299784,-2640.3591862989847,-2658.3465447861167,-2677.7144589469617,-2698.3410175316585,55,31
0.9752856033758157,0.1748358934139152,0.2153892480709586,0.8381802567491126,0.5112920432826148,2435.5269603734428,-6.195432548469556,-6.159508161836873,-6.084599151293047,-5.552572374524173,-5.497116417156375,-5.492606746440297,-5.488857661195266,-5.4857086375342154,-5.482700852945142,-5.479426858577092,57,31
0.9471176569412952,0.486857389909503,0.8182557124097959,1.8847016099487617,0.636256559901784,2502.6260598675344,-651.9944669469932,-618.6329323487015,-585.6377034777876,-554.7222362489159,-558.1801288532508,-791.9003092924063,-246.9276122547577,-237.42696542026138,-234.06215298467237,-227.2939217286872,51,14
0.9690112782755419,0.5311763743625643,0.9883527782461526,1.172762890173446,0.4104034515155175,3440.2022087904634,-866.0756970931855,-836.1709343205939,-812.9219622960017,-797.1353027772531,-783.6130747733681,-772.4741114820915,-763.827905657548,-757.7619600992447,-754.3677961839403,-753.7974482883969,56,34
0.9630585271991161,0.7360406672968975,0.6886256467238127,1.7600154892996625,0.7332018591068542,2295.77850744572,-3534.417733335864,-3494.4969033064485,-3382.7338416660746,-3343.4350840947377,-3303.8013679747896,-3263.6396825505817,-3222.9788929999745,-3181.73316998741,-3139.8197379032263,-3097.1655296583035,61,24
0.9318070018185489,0.5251075836944532,0.31056150777243735,1.9418667793190298,0.12559821904264723,3564.3004544249056,-1121.470239222419,-1085.8815491602504,-1054.5790478476404,-1042.78803675252,-1144.0209756864056,-263.7692237954225,-259.79843862781087,-264.478123561975,-247.98252513982615,-245.59726573478622,50,20
0.9694991474465571,0.5751888528898023,0.7049732764176195,0.9338312130569697,0.8669112302105249,2683.299920817439,-739.4028437159202,-736.7464314776465,-586.5515858516223,-573.3251500653481,-573.7612946536532,-574.3826318635898,-575.197232440242,-576.2273127992706,-577.4835355644666,-578.9413463290832,55,32
0.9787553746876604,0.27330359160301354,0.4344381685876847,0.578564789245746,0.21078529581937755,3762.9734396147933,-119.10233725843212,-110.86093425566727,-103.10023487196457,-95.90992982618144,-89.10772968460651,-82.66403121125029,-76.55843965017398,-70.77815141046135,-30.10358070875831,-26.755277304946944,52,8
0.977762157694853,0.30653616067382017,0.7789210317888924,1.3830086575233271,0.5306487186261822,3390.3834798757543,-114.74053989958077,-107.8610006403133,-101.15126439556072,-94.80670951842947,-89.44210036492126,-96.5859406534747,-133.80074994935066,-35.72563778611208,-31.1820966104272,-30.665662795063007,48,26
