20	0.000453 	0.001166 
21	0.000456 	0.001266 
22	0.000464 	0.001360 
23	0.000471 	0.001419 
24	0.000481 	0.001435 
25	0.000492 	0.001419 
26	0.000506 	0.001390 
27	0.000522 	0.001365 
28	0.000541 	0.001344 
29	0.000565 	0.001336 
30	0.000593 	0.001341 
31	0.000627 	0.001352 
32	0.000667 	0.001371 
33	0.000712 	0.001408 
34	0.000764 	0.001469 
35	0.000825 	0.001553 
36	0.000892 	0.001653 
37	0.000971 	0.001770 
38	0.001071 	0.001911 
39	0.001190 	0.002075 
40	0.001321 	0.002254 
41	0.001453 	0.002438 
42	0.001586 	0.002632 
43	0.001727 	0.002853 
44	0.001883 	0.003113 
45	0.002055 	0.003412 
46	0.002243 	0.003735 
47	0.002439 	0.004071 
48	0.002633 	0.004428 
49	0.002819 	0.004806 
50	0.003005 	0.005206 
51	0.003204 	0.005648 
52	0.003432 	0.006121 
53	0.003695 	0.006594 
54	0.004000 	0.007045 
55	0.004346 	0.007488 
56	0.004725 	0.007946 
57	0.005137 	0.008459 
58	0.005594 	0.009064 
59	0.006110 	0.009810 
60	0.006697 	0.010706 
61	0.007389 	0.011763 
62	0.008167 	0.012934 
63	0.008977 	0.014159 
64	0.009776 	0.015362 
65	0.010581 	0.016558 
66	0.011466 	0.017847 
67	0.012498 	0.019331 
68	0.013661 	0.020992 
69	0.014966 	0.022858 
70	0.016407 	0.024921 
71	0.017945 	0.027065 
72	0.019617 	0.029363 
73	0.021503 	0.032031 
74	0.023635 	0.035178 
75	0.025987 	0.038734 
76	0.028358 	0.042414 
77	0.030849 	0.046171 
78	0.033818 	0.050325 
79	0.037481 	0.055085 
80	0.041792 	0.060498 
81	0.046463 	0.066557 
82	0.051306 	0.072986 
83	0.056613 	0.079682 
84	0.062608 	0.086593 
85	0.069533 	0.094013 
86	0.076645 	0.102498 
87	0.084411 	0.111640 
88	0.092876 	0.121472 
89	0.102085 	0.132023 
90	0.112081 	0.143319 
91	0.122907 	0.155383 
92	0.134602 	0.168232 
93	0.147201 	0.181880 
94	0.160735 	0.196334 
95	0.175225 	0.211592 
96	0.190689 	0.227645 
97	0.207132 	0.244476 
98	0.224550 	0.262057 
99	0.242924 	0.280351 
100	0.262224 	0.299312 
101	1.00000 	1.00000 
